fromId,toId,weight
3618016319,3618016318,5487
2516449821,3618016319,2828
3618016320,2516449821,848
3618016321,3618016320,2493
1449693073,3618016321,1938
3618045027,1449693073,166
3618016323,3618045027,550
3618016324,3618016323,5339
3627213118,3618016324,5506
1645504218,3627213118,630
3692812913,3692812912,1596
3818653547,3692812913,860
1118488224,3818653547,3836
1118488219,1118488224,4249
1107438788,1118488219,2645
1118529499,1107438788,3751
1111657520,1118529499,1272
1111657515,1111657520,3190
1118529498,1111657515,2205
1111657531,1118529498,3454
1118529500,1111657531,3640
1111652499,1118529500,4267
1051330380,1111652499,5281
1107429945,1051330380,525
1115456554,1107429945,4908
1111652492,1115456554,2421
477008527,1111652492,2948
1111652506,477008527,2627
1107429880,1111652506,4588
1111652512,1107429880,4253
1111652540,1111652512,2881
1107429953,1111652540,8735
1832086730,1107429953,9248
825454686,1832086730,15996
5597396725,825454686,872
324939,5597396725,1291
5932881200,21746284,392
2248862661,5932881200,302
1313458489,2248862661,4511
1313458394,1313458489,2618
1313458371,1313458394,2400
4629275475,1313458371,1811
886419918,4629275475,508
308179,886419918,1563
1740729358,1563313433,2240
3732087702,1740729358,8484
2624027305,3732087702,6619
2468067332,2624027305,2062
1522658420,2468067332,8757
2271373240,1522658420,2196
2466796377,2271373240,8883
1701582866,2466796377,857
1740708063,1701582866,4137
5234980969,1740708063,1705
2078615380,1591433368,2023
1720678238,2078615380,19616
2896322716,1720678238,27611
1720678279,2896322716,440
2562635636,21746430,255
1054075612,2562635636,3980
3443284585,1054075612,14005
21746431,3443284585,1611
1112954973,26057461,4472
4868761657,1112954973,1847
3524775727,4868761657,10240
3524775724,3524775727,1605
1113095334,3524775724,57
3150280938,1113095334,1442
4868761643,3150280938,8194
1113081487,4868761643,3659
862063016,1113081487,7799
